provider_name,address,city,county,phone,license_status,odh_license
ABBEWOOD ASSISTED LIVING THE,1210 SOUTH ABBE ROAD,ELYRIA,LORAIN,(440)366-8980,ACTIVE,2406R
ABERDEEN CROSSINGS AL,399 BISHOP ROAD,CLEVELAND,CUYAHOGA,(440)460-0686,ACTIVE,2543R
ALGART HEALTH CARE,8902 DETROIT AVENUE,CLEVELAND,CUYAHOGA,(216)631-1550,ACTIVE,0588R
ALPINE HOUSE OF MAPLE HEIGHTS,5500 NORTHFIELD ROAD,MAPLE HEIGHTS,CUYAHOGA,(216)404-7448,ACTIVE,2903R
ALPINE HOUSE OF RAVENNA,7000 STATE ROUTE 88,RAVENNA,PORTAGE,(330)297-7000,ACTIVE,2705R
AMHERST MANOR,175 NORTH LAKE STREET,AMHERST,LORAIN,(440)988-4415,ACTIVE,0416R
ANCHOR LODGE LIMITED,3756 WEST ERIE AVENUE,LORAIN,LORAIN,(440)244-2019,ACTIVE,0556R
ANCORA AT MOUNT ALVERNA VILLAGE,6763 STATE ROAD,PARMA,CUYAHOGA,(440)843-7800,ACTIVE,2855R
"ANNA MARIA OF AURORA, INC.",889 NORTH AURORA ROAD,AURORA,PORTAGE,(330)562-6171,ACTIVE,0062R
ARBORS LANDING ASSISTED LIVING,575 S CLEVELAND-MASSILLON RD,FAIRLAWN,SUMMIT,(330)666-5586,ACTIVE,2943R
ARDEN COURTS (BATH),171 N. CLEVELAND MASSILLON ROAD,AKRON,SUMMIT,(330)668-6889,ACTIVE,2259R
ARDEN COURTS (CHAGRIN FALLS),8100 EAST WASHINGTON STREET,CHAGRIN FALLS,GEAUGA,(440)543-6766,ACTIVE,2243R
ARDEN COURTS (PARMA),9205 SPRAGUE ROAD,PARMA,CUYAHOGA,(440)886-5858,ACTIVE,2234R
ARDEN COURTS (WESTLAKE),28400 CENTER RIDGE ROAD,WESTLAKE,CUYAHOGA,(440)636-8314,ACTIVE,2117R
ASSISTED LIVING-MARYMOUNT PLACE,5100 MARYMOUNT VILLAGE DR,GARFIELD HEIGHTS,CUYAHOGA,(216)332-1070,ACTIVE,2207R
ATRIUM AT ANNA MARIA THE,800 NORTH AURORA ROAD,AURORA,PORTAGE,(330)562-7777,ACTIVE,2651R
AUTUMN HILLS HEALTHCARE COMMUNITY,12496 PRINCETON ROAD,HUNTSBURG,GEAUGA,(440)635-5567,ACTIVE,0666R
AVENUE ASSISTED LIVING,400 COMMUNITY DRIVE,AVON LAKE,LORAIN,(440)930-6600,ACTIVE,2462R
AVENUE AT LYNDHURST,5442 RAE ROAD,LYNDHURST,CUYAHOGA,(440)646-8448,ACTIVE,2930R
BARBERTON POINTE SENIOR LIVING,487 AUSTIN DRIVE,BARBERTON,SUMMIT,(330)745-7774,ACTIVE,2169R
BEACHWOOD COMMONS AL,3995 GREEN ROAD,BEACHWOOD,CUYAHOGA,(216)295-1700,ACTIVE,2709R
